"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Dumbbell Row",,"",0,"normal",50,10,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Dumbbell Row",,"",1,"normal",50,10,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Dumbbell Row",,"",2,"normal",50,10,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Dumbbell Row",,"",3,"normal",50,10,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Incline Bench Press (Dumbbell)",,"",0,"normal",90,10,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Incline Bench Press (Dumbbell)",,"",1,"normal",90,15,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Incline Bench Press (Dumbbell)",,"",2,"normal",90,15,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",110,10,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",115,10,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",115,10,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Chest Press (Machine)",,"",0,"normal",125,10,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Chest Press (Machine)",,"",1,"normal",130,10,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Chest Press (Machine)",,"",2,"normal",130,10,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Chest Fly (Dumbbell)",,"",0,"normal",30,12,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Chest Fly (Dumbbell)",,"",1,"normal",30,12,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Chest Fly (Dumbbell)",,"",2,"normal",40,12,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Bicep Curl (Dumbbell)",,"",0,"normal",40,10,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Bicep Curl (Dumbbell)",,"",1,"normal",40,10,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Bicep Curl (Dumbbell)",,"",2,"normal",40,10,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Lateral Raise (Dumbbell)",,"",0,"normal",30,10,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Lateral Raise (Dumbbell)",,"",1,"normal",30,10,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Lateral Raise (Dumbbell)",,"",2,"normal",30,10,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Decline Crunch (Weighted)",,"",0,"normal",,15,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Decline Crunch (Weighted)",,"",1,"normal",25,15,,,
"Late night workout 🌙","29 Mar 2025, 20:19","29 Mar 2025, 20:43","","Decline Crunch (Weighted)",,"",2,"normal",22.5,15,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Bench Press (Barbell)",,"",0,"warmup",45,10,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Bench Press (Barbell)",,"",1,"warmup",95,8,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Bench Press (Barbell)",,"",2,"warmup",135,5,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Bench Press (Barbell)",,"",3,"warmup",155,3,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Bench Press (Barbell)",,"",4,"warmup",165,2,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Bench Press (Barbell)",,"",5,"warmup",175,1,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Bench Press (Barbell)",,"",6,"normal",180,5,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Bench Press (Barbell)",,"",7,"normal",185,3,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Bench Press (Barbell)",,"",8,"normal",135,10,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Bent Over Row (Barbell)",,"",0,"warmup",45,10,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Bent Over Row (Barbell)",,"",1,"warmup",115,8,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Bent Over Row (Barbell)",,"",2,"normal",135,8,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Bent Over Row (Barbell)",,"",3,"normal",135,8,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Bent Over Row (Barbell)",,"",4,"normal",135,8,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Incline Bench Press (Barbell)",,"",0,"warmup",45,10,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Incline Bench Press (Barbell)",,"",1,"warmup",95,8,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Incline Bench Press (Barbell)",,"",2,"normal",115,8,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Incline Bench Press (Barbell)",,"",3,"normal",120,8,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Incline Bench Press (Barbell)",,"",4,"normal",120,8,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Lat Pulldown (Cable)",,"",0,"normal",100,10,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Lat Pulldown (Cable)",,"",1,"normal",100,10,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Lat Pulldown (Cable)",,"",2,"normal",100,10,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Skullcrusher (Barbell)",,"",0,"normal",50,10,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Skullcrusher (Barbell)",,"",1,"normal",50,10,,,
"Afternoon workout 💪","27 Mar 2025, 05:49","27 Mar 2025, 06:56","","Skullcrusher (Barbell)",,"",2,"normal",50,10,,,
"Late night workout 🌙","25 Mar 2025, 04:54","25 Mar 2025, 06:13","","Deadlift (Barbell)",,"",0,"warmup",45,10,,,
"Late night workout 🌙","25 Mar 2025, 04:54","25 Mar 2025, 06:13","","Deadlift (Barbell)",,"",1,"warmup",135,5,,,
"Late night workout 🌙","25 Mar 2025, 04:54","25 Mar 2025, 06:13","","Deadlift (Barbell)",,"",2,"warmup",185,3,,,
"Late night workout 🌙","25 Mar 2025, 04:54","25 Mar 2025, 06:13","","Deadlift (Barbell)",,"",3,"warmup",225,2,,,
"Late night workout 🌙","25 Mar 2025, 04:54","25 Mar 2025, 06:13","","Deadlift (Barbell)",,"",4,"normal",245,1,,,
"Late night workout 🌙","25 Mar 2025, 04:54","25 Mar 2025, 06:13","","Deadlift (Barbell)",,"",5,"normal",265,5,,,
"Late night workout 🌙","25 Mar 2025, 04:54","25 Mar 2025, 06:13","","Deadlift (Barbell)",,"",6,"normal",265,5,,,
"Late night workout 🌙","25 Mar 2025, 04:54","25 Mar 2025, 06:13","","Deadlift (Barbell)",,"",7,"normal",265,3,,,
"Late night workout 🌙","25 Mar 2025, 04:54","25 Mar 2025, 06:13","","Bulgarian Split Squat",,"",0,"normal",90,8,,,
"Late night workout 🌙","25 Mar 2025, 04:54","25 Mar 2025, 06:13","","Bulgarian Split Squat",,"",1,"normal",90,8,,,
"Late night workout 🌙","25 Mar 2025, 04:54","25 Mar 2025, 06:13","","Bulgarian Split Squat",,"",2,"normal",90,8,,,
"Late night workout 🌙","25 Mar 2025, 04:54","25 Mar 2025, 06:13","","Hip Thrust (Barbell)",,"",0,"normal",105,10,,,
"Late night workout 🌙","25 Mar 2025, 04:54","25 Mar 2025, 06:13","","Hip Thrust (Barbell)",,"",1,"normal",195,10,,,
"Late night workout 🌙","25 Mar 2025, 04:54","25 Mar 2025, 06:13","","Hip Thrust (Barbell)",,"",2,"normal",195,10,,,
"Late night workout 🌙","25 Mar 2025, 04:54","25 Mar 2025, 06:13","","Lying Leg Curl (Machine)",,"",0,"normal",90,10,,,
"Late night workout 🌙","25 Mar 2025, 04:54","25 Mar 2025, 06:13","","Lying Leg Curl (Machine)",,"",1,"normal",80,10,,,
"Late night workout 🌙","25 Mar 2025, 04:54","25 Mar 2025, 06:13","","Lying Leg Curl (Machine)",,"",2,"normal",90,10,,,
"Late night workout 🌙","24 Mar 2025, 05:40","24 Mar 2025, 06:39","","Pull Up",,"",0,"normal",,10,,,
"Late night workout 🌙","24 Mar 2025, 05:40","24 Mar 2025, 06:39","","Pull Up",,"",1,"normal",,10,,,
"Late night workout 🌙","24 Mar 2025, 05:40","24 Mar 2025, 06:39","","Pull Up",,"",2,"normal",,8,,,
"Late night workout 🌙","24 Mar 2025, 05:40","24 Mar 2025, 06:39","","Dumbbell Row",,"",0,"normal",50,10,,,
"Late night workout 🌙","24 Mar 2025, 05:40","24 Mar 2025, 06:39","","Dumbbell Row",,"",1,"normal",50,10,,,
"Late night workout 🌙","24 Mar 2025, 05:40","24 Mar 2025, 06:39","","Dumbbell Row",,"",2,"normal",50,10,,,
"Late night workout 🌙","24 Mar 2025, 05:40","24 Mar 2025, 06:39","","Incline Bench Press (Barbell)",,"",0,"warmup",45,10,,,
"Late night workout 🌙","24 Mar 2025, 05:40","24 Mar 2025, 06:39","","Incline Bench Press (Barbell)",,"",1,"warmup",95,5,,,
